date,pm25,series
2026-01-18,21.5,Historical (OpenAQ daily)
2026-01-19,38.5,Historical (OpenAQ daily)
2026-01-20,19.2,Historical (OpenAQ daily)
2026-01-21,9.86,Historical (OpenAQ daily)
2026-01-22,14.3,Historical (OpenAQ daily)
2026-01-23,28.0,Historical (OpenAQ daily)
2026-01-24,38.4,Historical (OpenAQ daily)
2026-01-25,45.9,Historical (OpenAQ daily)
2026-01-26,53.8,Historical (OpenAQ daily)
2026-01-27,43.0,Historical (OpenAQ daily)
2026-01-28,35.3,Historical (OpenAQ daily)
2026-01-29,25.4,Historical (OpenAQ daily)
2026-01-30,36.4,Historical (OpenAQ daily)
2026-01-31,52.3,Historical (OpenAQ daily)
2026-02-01,31.26,Forecast (Fixed Feb 01–14)
2026-02-02,31.32,Forecast (Fixed Feb 01–14)
2026-02-03,35.6,Forecast (Fixed Feb 01–14)
2026-02-04,32.7,Forecast (Fixed Feb 01–14)
2026-02-05,24.76,Forecast (Fixed Feb 01–14)
2026-02-06,28.25,Forecast (Fixed Feb 01–14)
2026-02-07,28.31,Forecast (Fixed Feb 01–14)
2026-02-08,28.4,Forecast (Fixed Feb 01–14)
2026-02-09,30.67,Forecast (Fixed Feb 01–14)
2026-02-10,31.58,Forecast (Fixed Feb 01–14)
2026-02-11,28.14,Forecast (Fixed Feb 01–14)
2026-02-12,24.91,Forecast (Fixed Feb 01–14)
2026-02-13,26.15,Forecast (Fixed Feb 01–14)
2026-02-14,27.71,Forecast (Fixed Feb 01–14)
